City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Kargopol,RU,61.51,38.95,44.28,93,100,8.63,overcast clouds
173,Batemans Bay,AU,-35.72,150.18,64.99,88,40,5.01,scattered clouds
174,Katsuura,JP,35.13,140.3,63.0,42,90,4.0,overcast clouds
175,Post Falls,US,47.72,-116.95,41.0,93,1,5.82,mist
176,Xining,CN,36.62,101.77,53.47,42,0,8.57,clear sky
177,Huambo,AO,-12.78,15.74,73.92,56,0,2.91,clear sky
178,Guerrero Negro,MX,27.98,-114.06,65.3,66,0,7.94,clear sky
179,Port Macquarie,AU,-31.43,152.92,73.0,73,16,11.77,light rain
180,Vaini,TO,-21.2,-175.2,71.6,73,20,10.29,few clouds
181,New Norfolk,AU,-42.78,147.06,61.0,63,56,1.01,broken clouds
182,Darnah,LY,32.77,22.64,70.39,67,1,17.34,clear sky
183,Hearst,CA,49.68,-83.67,17.13,84,0,2.95,clear sky
184,Vieksniai,LT,56.23,22.52,46.0,94,3,4.0,clear sky
185,Port Hawkesbury,CA,45.62,-61.35,36.0,87,100,1.99,light rain
186,Izhma,RU,65.01,53.91,41.43,92,100,9.15,overcast clouds
187,Kisangani,CD,0.52,25.2,79.21,70,99,2.44,overcast clouds
188,Afua,BR,-0.16,-50.39,78.44,85,92,7.23,overcast clouds
189,Smithers,CA,54.78,-127.17,33.58,91,100,1.92,overcast clouds
190,Srednekolymsk,RU,67.45,153.68,4.51,94,100,2.35,overcast clouds
191,Emba,KZ,48.83,58.14,48.06,47,100,10.11,overcast clouds
192,Isangel,VU,-19.55,169.27,80.6,69,75,5.82,broken clouds
193,Longyearbyen,SJ,78.22,15.64,19.4,62,20,14.99,few clouds
194,Daugai,LT,54.37,24.33,46.4,87,0,3.36,clear sky
195,Port Hedland,AU,-20.32,118.57,96.8,34,100,17.22,overcast clouds
196,Souillac,MU,-20.52,57.52,73.99,52,0,15.01,light rain
197,Ati,TD,13.22,18.34,89.13,18,0,15.55,clear sky
198,Panlaitan,PH,12.12,119.85,84.7,72,100,6.58,overcast clouds
199,Igrim,RU,63.19,64.42,38.16,93,100,9.42,overcast clouds
200,North Bend,US,43.41,-124.22,51.8,100,90,4.7,overcast clouds
201,Doha,QA,25.29,51.53,93.0,52,0,5.82,clear sky
202,Tecpan,GT,14.76,-90.99,66.0,88,75,11.41,broken clouds
203,Miramar,US,25.99,-80.23,80.6,100,20,7.07,few clouds
204,Lata,PT,40.16,-8.33,55.99,93,0,4.7,clear sky
205,Nanakuli,US,21.39,-158.15,80.6,57,75,11.41,broken clouds
206,George Town,MY,5.41,100.34,89.6,62,20,10.29,few clouds
207,Westport,US,41.14,-73.36,44.6,87,90,19.46,light rain
208,Mach,PK,29.86,67.33,75.61,16,0,5.75,clear sky
209,George,ZA,-33.96,22.46,57.2,54,20,10.29,few clouds
210,Ostrovnoy,RU,68.05,39.51,34.5,93,100,18.3,overcast clouds
211,Izumo,JP,35.37,132.77,60.8,44,40,14.99,scattered clouds
212,Vardo,NO,70.37,31.11,32.0,86,40,10.29,shower rain
213,Elizabeth City,US,36.29,-76.25,77.0,88,90,14.99,overcast clouds
214,Bambanglipuro,ID,-7.95,110.28,85.55,69,99,11.72,overcast clouds
215,Rawson,AR,-43.3,-65.1,49.96,58,0,5.84,clear sky
216,Matara,LK,5.95,80.54,88.2,58,9,10.58,clear sky
217,Lebu,CL,-37.62,-73.65,50.59,81,43,14.12,scattered clouds
218,Didao,CN,45.37,130.8,44.55,54,81,4.5,broken clouds
219,Tessalit,ML,20.2,1.01,75.38,18,0,8.77,clear sky
220,Gushikawa,JP,26.35,127.87,77.0,53,1,17.22,clear sky
221,Tenenkou,ML,14.46,-4.92,77.0,18,0,5.95,clear sky
222,Luderitz,NA,-26.65,15.16,64.38,51,0,25.97,clear sky
223,Itarema,BR,-2.92,-39.92,77.0,83,100,13.15,overcast clouds
224,Dingle,PH,11.0,122.67,80.04,87,100,4.79,overcast clouds
225,Tual,ID,-5.67,132.75,83.88,66,0,8.57,clear sky
226,Faanui,PF,-16.48,-151.75,79.48,82,0,11.07,light rain
227,Miranda,CO,3.25,-76.23,69.8,83,75,4.7,broken clouds
228,Chulym,RU,55.1,80.96,34.75,99,100,10.2,overcast clouds
229,Fairbanks,US,64.84,-147.72,14.0,85,90,3.36,overcast clouds
230,Orange,US,33.7,-117.77,64.4,63,1,3.36,clear sky
231,Northam,GB,51.03,-4.22,57.99,97,100,8.01,overcast clouds
232,Gat,IL,31.61,34.76,77.0,100,100,3.0,overcast clouds
233,Ayutla,MX,20.12,-104.33,64.8,80,52,1.05,broken clouds
234,Mangrol,IN,21.12,70.12,86.65,40,0,6.51,clear sky
235,Namibe,AO,-15.2,12.15,71.58,71,0,6.69,clear sky
236,Luba,GQ,3.46,8.55,73.4,100,40,2.24,scattered clouds
237,Acari,PE,-15.43,-74.62,63.91,70,95,2.59,overcast clouds
238,Upernavik,GL,72.79,-56.15,24.89,94,100,6.04,overcast clouds
239,Pangody,RU,65.85,74.49,16.25,97,100,11.16,overcast clouds
240,Andros,GR,37.83,24.93,66.99,71,0,5.93,clear sky
241,Kirovohrad,UA,48.51,32.26,52.92,75,97,4.34,overcast clouds
242,Victoria,HK,22.29,114.16,80.01,61,86,9.19,overcast clouds
243,Coihaique,CL,-45.58,-72.07,39.25,85,68,4.83,broken clouds
244,Manicore,BR,-5.81,-61.3,73.6,94,95,1.5,overcast clouds
245,Sorland,NO,67.67,12.69,39.2,64,40,11.41,scattered clouds
246,General Roca,AR,-39.03,-67.58,55.67,36,5,12.66,clear sky
247,Sinnamary,GF,5.38,-52.95,80.38,84,11,12.91,few clouds
248,Mozelos,PT,41.87,-8.4,55.99,100,2,8.05,fog
249,Zhuhai,CN,22.28,113.57,86.0,69,20,9.17,few clouds
250,San Jose,US,37.34,-121.89,60.01,58,1,0.63,clear sky
251,Mucurapo,TT,10.67,-61.53,78.8,88,40,8.05,light rain
252,Klaksvik,FO,62.23,-6.59,48.2,100,100,16.11,light intensity drizzle
253,Acarau,BR,-2.89,-40.12,76.59,84,100,13.44,overcast clouds
254,Wittlich,DE,49.98,6.88,55.99,93,90,13.87,overcast clouds
255,Turbat,PK,26.0,63.04,89.38,11,0,13.2,clear sky
256,Mareeba,AU,-17.0,145.43,86.0,41,0,8.99,clear sky
257,Mogadishu,SO,2.04,45.34,82.15,66,100,6.15,overcast clouds
258,Terekli-Mekteb,RU,44.17,45.87,64.56,75,100,6.11,overcast clouds
259,Damphu,BT,27.07,90.11,84.85,19,0,4.83,clear sky
260,Fukue,JP,32.69,128.84,68.0,60,40,20.8,scattered clouds
261,Georgetown,MY,5.41,100.34,89.6,62,20,10.29,few clouds
262,Brae,GB,60.4,-1.35,53.6,93,75,23.04,drizzle rain
263,Saiha,IN,22.48,92.97,90.3,42,84,0.94,broken clouds
