City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,Senekal,ZA,77.27,overcast clouds,-28.32,27.62,Hendersons Lodge
288,Mitsamiouli,KM,80.02,light rain,-11.38,43.28,Foyer ADM
291,Byron Bay,AU,78.01,clear sky,-28.65,153.62,Backpackers Inn on the Beach
296,Morondava,MG,86.29,clear sky,-20.28,44.28,La Case Bambou
299,Berbera,SO,86.2,clear sky,10.44,45.01,Damal Hotel
300,Itoman,JP,77.0,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
301,Manado,ID,86.2,light rain,1.49,124.85,Aryaduta Hotel
302,Itainopolis,BR,77.99,overcast clouds,-7.45,-41.48,Pousada Posto Club Frank Aguiar
306,Sawakin,SD,88.81,scattered clouds,19.11,37.33,فندق الدويم
309,Babu,CN,76.03,broken clouds,24.42,111.52,IU Hotel Hezhou Bus Terminal
312,Acapulco,MX,78.51,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
314,Cayenne,GF,77.0,clear sky,4.93,-52.33,Hôtel Le Dronmi
317,Kendari,ID,88.09,light rain,-3.94,122.5,Hotel Wixel
318,Salalah,OM,86.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
321,Mponela,MW,75.2,few clouds,-13.53,33.74,Ram's Executive Lodge
322,Sao Filipe,CV,80.6,overcast clouds,14.9,-24.5,Tortuga B&B
323,Mokolo,CM,79.97,clear sky,10.74,13.8,Diwa Hôtel
327,Tunduma,TZ,81.39,broken clouds,-9.3,32.77,Sacse High Class Hotel
328,Gizo,SB,80.78,moderate rain,-8.1,156.84,Imagination Island
330,Cairns,AU,86.0,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
332,Padra,IN,90.63,clear sky,22.23,73.08,hotel rajawat
335,Mataram,ID,85.03,broken clouds,-8.58,116.12,Hotel Santika Mataram
344,Alice Springs,AU,82.4,clear sky,-23.7,133.88,Desert Palms Alice Springs
345,Douentza,ML,77.94,clear sky,15.0,-2.95,Ogomono Doumbo
351,Biak,ID,84.63,light rain,-0.91,122.88,Kost Ariz
352,Esperance,AU,82.4,overcast clouds,-33.87,121.9,Hospitality Esperance
364,Puerto Ayacucho,VE,76.26,clear sky,5.66,-67.62,Posada Turistica Manapiare
367,Itaituba,BR,75.6,heavy intensity rain,-4.28,-55.98,Hotel Campos
368,Hambantota,LK,85.59,overcast clouds,6.12,81.12,Bungalow 63
374,Wanning,CN,78.1,broken clouds,18.8,110.4,Paradise Hotel
